nombre_restaurant,gmap_id,estado
The Aynor Inn,0x890007d78c3e5ab9:0x4f105096aaef191d,SC
Healthy Gourmet Express,0x89ba851083db2e95:0x3439b511ffc0972c,VA
Crab Du Jour Cajun Seafood & Bar,0x88d9b1f38dff4dff:0x61443de98cd9c88c,FL
Sizzler,0x88dd8019b7c4167b:0x7043f86a8346dcf3,FL
Cajun Boil Express,0x88e44b7e69565ac5:0x3dfe920e1417a40c,FL
Cajun Crab,0x8890eff2db2544cb:0x661d1a6f60aa3201,FL
Corolla Seafood Buffet,0x89a52f760086386f:0xd49d73c85d13e8b2,NC
Louisiana Lucky Phat Seafood,0x88541fe732ca64ff:0xcd0335cf35f177c,NC
Dilly's Seafood Truck at Celebration Park,0x88dae33bfbda83ff:0xb8247ee5005e3d24,FL
Port Royal Seafood Inc.,0x88fc6d0f0819d453:0x39c965c15a435347,SC
Nini Seafood,0x88d9b010f6400001:0x9e1911a7dcca6405,FL
Taste My Garlic Crabs llc,0x88feef8abbcfe199:0xa6ba3f7271870913,SC
KBOP,0x88f509c9f0af8c29:0x25a46b00d9fd4967,GA
Danny's Kitchen,0x88d901bc6387dc57:0x485755851e90c952,FL
Bratta's Seafood Steaks & Pasta Restaurant,0x88db3ffb4c4ed63b:0xdf072319e5b0cd21,FL
Sunsets' Tequila Bar at Loews Don CeSar Hotel,0x88c302caf69f54f1:0xdbfcd85ccc764c4f,FL
Southern Seafood & BBQ,0x88f5036de11bf8c7:0x64de326982252c1b,GA
Joe's Crab Shack,0x88e71286d860ae23:0x8f1e6c4ea94674a6,FL
Del Frisco's Grille,0x88d8d69ac8872eed:0x27b6361453f3fee4,FL
Off The Hook Crabs & Fish,0x88f51dda89203345:0x830ec19f9231054c,GA
Seasoned 7 Bistro & Bar,0x88f4e3041a898bf5:0x5e3fd49e82484ce2,GA
Cajun Grill,0x89b7c702bd08b4c9:0x813f295875c3f328,MD
Malcolm's,0x88d8d9c41c7d6f61:0x2a19314ad351e01b,FL
One Way Louisiana Style Seafood,0x88f50160cb35a85f:0x7ad0f83428c670a5,GA
Captain's Catch,0x88e5b4f34690250d:0x6ba06216c5411de4,FL
Wings & Seafood,0x88f4fbae9fa4cc89:0xec4c48740a079952,GA
JJ's Fish & Chicken,0x89adbc1fa2911fdb:0xdd13364846c62db7,NC
The Cypress Landing Restaurant At Bayside Marina,0x89af8f092df92d95:0xbef3511f722e9498,NC
Crab Du Jour - Asheville,0x8859f34145ec1ee7:0x5e5e5e3f484e66da,NC
Seafood Center,0x88f257a43d4a2475:0xf8fc14856ffdd940,GA
13 American Table,0x88d8e218d8f60b33:0x59198f48e99f2472,FL
Atlantic Restaurant & Sport Lounge,0x88d9ba591d700baf:0xda28a38d3a9d364f,FL
Chart House - CLOSED,0x88d9b7ccc71589f3:0x8c2e01f74a939004,FL
Hampton Seafood,0x88582c3226b86be5:0x65b465180190008c,SC
Nemo Sports Bar,0x88dae2c9d6a75027:0x1d07c14380c72ba7,FL
Tunis Seafood Wings Subs,0x88e5c5b33033e21b:0xe2393298c6949343,FL
Lolailo The Original,0x88e77f012da4f8e5:0xec84885f62f0a379,FL
La Granja Parrila,0x88d905db368b8d7b:0x28fddfae9a67f2b7,FL
Ocean-N-Motion,0x88f0411b336ef55d:0x7ff50ffafaf24a1f,GA
Urban Crab Shack,0x89c809b6b69d46e7:0x64cb16d84f6a7f15,MD
Sushi Factory,0x88de61125e392837:0xef7af8b0e1e0265d,FL
Mainely Lobster and Seafood Too!,0x88e4d0810bafa93f:0xab8d5f1e3774c15c,GA
Steven's Restaurant & Oyster,0x89007d8580c6b751:0x7bc7cc9115bc6cfa,SC
Captain D's,0x89b7bc2fdfabe817:0x129b9bf593caf743,MD
Popeyes Louisiana Kitchen,0x89ba8476612eb891:0xfd803e8a72ec5497,VA
2990 Nola Cafe,0x88f50993386edc13:0x7d8d9cd41753cf21,GA
Quinn's South Beach,0x88d9b492aaaf8157:0x7f36b9e06462e074,FL
Brooklyn restaurant and loung,0x88f8d5d6fd08cf8b:0x1c0c47fe998afbbc,SC
S & J Crab Ranch,0x89c80faf1ab84675:0x76cbe36d46c9737f,MD
McManus Seafood & More,0x88def19ce9332ce3:0x2feb1abc265ccbe1,FL
Captain's Ketch Seafood,0x89b8407b21dd00af:0x9102db1fe0d0db98,MD
The Connection Bar & Grill,0x88db41e2e1dbac35:0x69b74626354e343d,FL
Lobster Express Co.,0x88556614b877f8f9:0x3f3002daab9ab432,SC
B More Chicken & Seafood,0x89c81baedb1798d3:0x6d78e10ae303f03e,MD
Coast seafood,0x88fe7a6b7c263bcd:0x6b0a30b679622a86,SC
Richs Seafood,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce,VA
Gaboja II,0x89b645d58c1bd4db:0xca70c9992c682207,VA
Randel's Fish Hut,0x88e6d845b2600849:0xc7620c925e902f5,FL
Q's Seafood One Stop,0x88de1afd3ff7d88f:0xd722d51986b129d1,FL
Mo's Seafoods,0x8855d70a69fdf00d:0xc57057e59da162bf,SC
Lala's Seafood,0x88d9b73a3fbac151:0xf36472990bbd45c,FL
The Cheesesteak Factory,0x88deec073464b5e1:0x9438177b22403959,FL
Hard Dock Café,0x88e6651b63aaa635:0x4ee6f7c7a991f384,FL
Reggae J's,0x88938c4484278efb:0x78a608b8bf136fc4,FL
Triple K Catfish House,0x885fe72c06b64635:0x7cc9cb0ee277e95c,GA
Fingers & Claws Restaurant,0x89b62d5e3302fd9d:0x37a5663751debfdf,MD
Popeyes Louisiana Kitchen,0x88fe5b2fc7bab96f:0x102625ff8cfa9fdd,SC
Skip One Beach Seafood Restaurant,0x88db3eafa55587d3:0xfdf49b73692c0315,FL
BJ's Seafood & Sportsbar,0x88e5a1c92e6deaff:0x78a9e92f4275eec8,FL
Blue Grotto Restaurant and Nightclub,0x88e6d98a383c1f0f:0xff2a73ae27b47c7f,FL
Crosby's Seafood,0x88fe7a3638fabc1b:0x93caefa22f46ae44,SC
SeaBass Kitchen,0x88f50e973c8fc131:0x583e3535c1bc8e3,GA
Key West Conch Fritter,0x88d1b6ec5e2e13b9:0x9ef54bf7e4d62978,FL
Mr. & Mrs. Crab Juicy Seafood & Bar,0x88d9083dd5496e8b:0xa284a474ae750b74,FL
Mana Poke Downtown Miami,0x88d9b78c9b696ecf:0xb8418f337b696553,FL
Ford's Oyster House & Cajun Kitchen,0x8858303322e16a6b:0xe9c55a79bc796224,SC
Tavern 24,0x885828cf0242b82b:0xe7f73ca9136935d,SC
Driftwood Plaza,0x88df2a212d1d60f5:0x7380895a9bb43ece,FL
Downtown Gyro & Seafood,0x88c2902cf427c49f:0x7fb0bc058fd41f07,FL
OC Steamers Restaurant,0x89b8d60fa33cd97b:0x948f4c59ab85ff85,MD
Seafood King,0x89ba97bd3ba37b97:0xdb7676ac65bbc139,VA
Bobby's Seafood Grill,0x89ae10d8f5e4f4d7:0xc8e972b988afee38,NC
Wassabi Asian Fusion,0x88e77170e1e3f567:0xf53c8ca47a21bdf7,FL
Pilikia By the Pool,0x88d9b49b81527bad:0x27350a1172c4c10e,FL
HotLime Tacos & Ceviches - MIA Market,0x88d9abc90f605ab7:0x773b4979c6d774a9,FL
Bonefish Grill,0x89b65673ddcef38b:0xc1fbef9594e57ca1,VA
Fish R US,0x89b0834c0a27e3e1:0xf78b7fa7b69597f5,VA
Hey Ceviche,0x88d9b95136c6b235:0x7cbee5b20357676f,FL
University Crab Shack,0x88e5b41d8f0a8f99:0x5b5121fa5119129b,FL
Blue Ocean Seafood,0x89ba97e95fbe787f:0xd085ed3ba7a2ff3d,VA
Snappers Seafood,0x88d8df5a51f0b3f3:0xecd755fcef30976d,FL
Trumps Restaurant 2,0x89af75ef0eb69dd9:0x7c5d376a9b3e0ee7,NC
Brown Trout Mountain Grille,0x8859f97288dbf2d3:0x3fac543a8b73c2e0,NC
Wilkins Seafood & Grille,0x88f17bd72d514d59:0xce05089be8a579ca,GA
Sandy Dent Seafood,0x89b6c819c3b224fb:0xe4957a71bc67b5e7,VA
Las Sirenas - Mariscos - Sinaloa-Style Mexican,0x88c33de178602a8d:0xdd187c6e1f18e516,FL
Leila's Land and Sea,0x88f4e29bed64bd05:0xe9a2ab8bba1ac031,GA
Three Cafe Restaurant,0x88fe8b5c1bca58c9:0xbe3d3e20516b2d3e,SC
Popeyes Louisiana Kitchen,0x88e8a58ebd1fa00f:0xbdc7f30a5beb6af6,FL
Painter's Palate,0x88c33ff06a632343:0x17a7ae05d98e19ab,FL
Seafood on Fire 불타는 해물찜,0x88f5bd6c79665ab9:0x23ade8c70d97460a,GA
The Original Likit fish & chips,0x88e427be6c45802d:0xe33e17f7f48b7691,FL
FINZ Raw Bar and Grill,0x8854240278678965:0x6393ef62737d6a16,NC
Tilletts Seafood,0x89a4fbf57eb997bf:0x9bcf8c5cd30fb4d4,NC
Cafe Toscano,0x88d8d63e90d2f76b:0x441ed11f4cb60d41,FL
Legends Seafood & Grill,0x88f6bf35a78bfbb3:0x22084f2a382de255,GA
Red Lantern,0x88f5bf9c94ac058d:0xb6803ada7517450,GA
Fatboiz Premium Gourmet,0x88f45b9dbd35afbf:0xf4c473ca540d5b2e,GA
Garcia's Fish Market,0x88d9b69062cd6e39:0xac4133a3fe37dac5,FL
Cameron's Seafood,0x89b62df64b3a6cc5:0x51ccf7df6eec51e,MD
Gulf Primeval On The Rooftop,0x88c303e317efbdbb:0xa820f0bbef65b916,FL
Hook & Reel Cajun Seafood & Bar,0x88f5bd7d80967963:0x15a4d377d98fc0d2,GA
McCormick & Schmick's Seafood Restaurant,0x88d8d660a6385089:0x9a7b18cc22912a9b,FL
China Palace Restaurant,0x88f5111ab38993db:0x6951676e811a1318,GA
Lobster Banh Mi,0x88f599c58c8c3931:0xe38ec2de2aefd697,GA
Captain Q's Seafood & Smokehouse,0x89a893e1a33403e1:0xb79f2510dca260da,NC
Crab Garden,0x88d9afc509e74223:0x7802fb49ad773c6,FL
Depot Southern Bistro LLC,0x89ad1538fc681659:0xe66cbbe31f1cbe27,NC
YamaChen's sushi,0x89b64d3909c20759:0xda887c7354075dcf,VA
Overboard Bar & Grill,0x88d1b6e9d3321b9f:0xef828e83d91c7617,FL
Stonewood Grill & Tavern,0x88c316bb70704c6b:0x4034c7e189726eda,FL
Tinatapa's,0x88c2c4f179ed3d69:0x5aec3a1ceaeac460,FL
Islamorada Fish Company,0x89006495b2d6fc45:0x8b0364b0ac298066,SC
Juicy King Seafood Restaurant,0x89a521aa698c30d1:0x58e81f8e9c1e112a,NC
Anchor Seafood Place,0x89b7cf035ad95555:0x4807c8521c01abe9,MD
Steam & Chill Restaurant & Lounge,0x88c2fd5c0e35d8d9:0x7e9e0d8856c4a2a3,FL
The Farmer's Cook House,0x89c992d83af08561:0x90ea43e97c8270c9,MD
Flamingo Joe's Grill,0x88938617bc8343ed:0xbef5787f91b5d1e2,FL
Vietfoods,0x89b7b51ca6287ee1:0xfbe73b6b9ec42b82,VA
Ginny's Seafood & Deli,0x89b6c112f9d6b111:0xac81ec301b39479a,VA
Chef's Table,0x89ba95a65fd1b9e7:0x5dedb4fd9cfa6ca1,VA
Salt Water Grill,0x89a52ed03245c4fd:0xa4ddef6db53b08ad,NC
Harrison's Chesapeake House,0x89b825b1535b3fbf:0x246917142b260d4d,MD
Popeyes Louisiana Kitchen,0x88e7ebfdfd86a9f3:0x375431f5845b2f63,FL
"Crab, Shrimp,Sea Food Platter",0x88d9274bdf7eb1d9:0xbabb77abd356b780,FL
A. W. Shucks Seafood Restaurant,0x88fe7a0dc90db275:0x4b06acb1f778fdd5,SC
Mrs. Paella,0x88d9a521c22aee57:0x82da8fe113d3d55e,FL
The Frying Dutchman,0x88e77fb4f5675e59:0x70fc30370eec423a,FL
Boatyard Restaurant,0x88938647b930044f:0x6ba9a522b36acf78,FL
OLDE SAVANNAH SEAFOOD CO,0x88f4e37cfca56f81:0xcffc47ea0477584,GA
Celebration Pizza and Pasta,0x88e0aa6ccc24e201:0x5bbf7075fe12f97,FL
George's Seafood House,0x88c339f25c8f60b5:0x11102d90737e2f64,FL
Stix Flame Grill Eatery,0x89b1a66d7e722009:0x206548f9f08614d7,VA
The Seafood Academy Of Columbia,0x88f8d4f54d35b749:0x2b0165002572a62b,SC
Fish N Things,0x88d906d3523e769d:0x5e8af65578e3627e,FL
Submarine Crab South Carolina,0x88f8afb7014a06fd:0x20f57d11f34bb025,SC
Shipwreck Seafood,0x88fe7ccc1dfdcc39:0x7a1b1a83ca5a0cc,SC
Watershed,0x89c8035cdaa11bdf:0xce77fe0b5be8f89e,MD
David's Crabhouse of Savannah,0x88f5a9bca55ec5e7:0x8e2dc5210463f71e,GA
MVP's Raw Bar and Grill,0x8856a494d14c08df:0xf330321d7ec32e05,NC
Price's Seafood,0x89c7c7539c365573:0x248f7ebb6dcdd9cf,MD
Fab Grill & Seafood,0x89b7c0b89bf04809:0x3e7680892112cc5b,MD
International Buffet,0x89baa22dd192f2c3:0xe29379e4177ba404,VA
Captain Saigon Seafood,0x89b7b54f427689a9:0x2dd3545d55fab617,VA
Conchman Conway Llc,0x88ecf52d9ea55555:0x76597612597c8607,FL
Willoughby Fish House,0x89ba9be03f91e651:0xb0bd55fb4ba68031,VA
Masago steakhouse,0x88f5bc352a243c8f:0xb660865f0a14c734,GA
Outer Banks Boil Company,0x89bac159c5d05f8d:0xfe0f4853bc0adb53,VA
The Colonial Trail Seafood Market,0x89b06748d63a8bc1:0xaa39980cf8f50c3b,VA
Angel's Lobster & Seafood Buffet,0x88dd7eb789bbe7c7:0xd308d29b41411fe2,FL
Red Crab Juicy Seafood & Bar,0x88d9213f7a44eba3:0x8ef84f508463187a,FL
Island Seafood -n- More,0x88fee727227f4219:0xa1cdf1593399a83b,SC
The Twisted Crab-Chesapeake Square Mall,0x89baa1a01369e06f:0xed8a1278e3813ccd,VA
Popeyes Louisiana Kitchen,0x88d907bbae70251b:0xb0109b5e0d983912,FL
CAPT BILLS HOT DELICIOUS SEAFOOD,0x88db5990e00a7187:0xabb4d9f2c74c8fbc,FL
Fish Fiesta,0x88c2b5830bd6aaff:0x9293174993fd101a,FL
Solomon Street Seafood Market,0x88f48ba5a4625331:0xb9dc874206f5826e,GA
El Capitán Seafood,0x88f50b7782c00b7b:0xfd53fbc1c620ade3,GA
Kajun Cave Seafood,0x88e77a381b4a1113:0xcb21264c17e08239,FL
Da'One Seafood,0x88f4e32a97254537:0xdf0fe8d5ddad34bd,GA
IDK Raw Bar Grill and Gaming,0x89b083970a6a07b9:0x86cd358187f63ca8,VA
Farmers Basket,0x88f514d88668cf71:0x68a9f84f8f44e4c9,GA
Downtown Seafood Bar & Grill,0x89ac016a6e674cf7:0xef1953af0419955,NC
Crab Du Jour Whitehall Cajun Seafood & Bar,0x88569936548acbbb:0x31e59fd67c9fc9ca,NC
Red Hot and Blue,0x89b7b65e5d8a8707:0x316423d3f9c71603,VA
Captain Crab - 49th St.,0x88c2e3b901aefa85:0x9d4e141c3d6025da,FL
Bluebay Seafood,0x88f4fdd705037a4d:0x10d99a2ff3a5e7dd,GA
Vinny's Seafood Express,0x89a9f9d696817e49:0xf82fb07c4aa6dc4,NC
Floridita Cuban Cafe and Restaurant,0x88dae232ba115555:0x671a672db2b82ccd,FL
Shrimply Delicious Seafood Co.,0x88531fab46aa111b:0xa427e88a4d621cf9,NC
Peoples Choice Mobile Food Service,0x88e0b3a97325561b:0x65cf6f950600f1ed,FL
The Twisted Crab- Norfolk,0x89ba99520f689999:0xe29f80db48fff220,VA
La Gloutonnerie,0x88d9b4f16d4cab83:0x14261620f9c94e46,FL
Akami Sushi Bar,0x89ac8dd71185be65:0x8afeac6b851f3d93,NC
Okee's Crabhouse & Seafood,0x88e5ba73a7572d5d:0x20bf228f414ec321,FL
Shadrak's Oyster Shack,0x88fe714f71281e11:0xa33045e104d3167d,SC
Floyd Wings and Grill,0x88f518187663d19b:0x2cca86505c3bc5e,GA
Willow Restaurant and Pub,0x89b7fd4663a84edf:0x82ca606d494ee8c8,MD
The Hungry Parrot,0x88c3171da1b66ed1:0x9fc5ba0f5a24b26a,FL
Tin Fish at Sarasota Commons,0x88c3409f31a3ed67:0xddeea50293f57f44,FL
Boone Docks,0x8900a0400c3fdb3b:0x18e9477b2a8572ae,NC
Da'Munchies Express,0x88e71494d6c9e2ff:0xa79d237f81f74d07,FL
Crystal Cove Crab Shack,0x88c2e3345105b749:0xd1203de3bf367207,FL
Plancha,0x88dd7fdba9200065:0x81367cc5f5f84d62,FL
Oyster Alley,0x89ba84b7b0b1a33b:0x3934fbed2f0343a5,VA
Sir Walter Raleigh Inn of Greenbelt Inc.,0x89b7c3e252bcb3f7:0x53b6d8e23b759607,MD
Cornerstone Grill Of Cheraw,0x88551b7d13a90049:0x702d3370452849e4,SC
Gene's Steak House,0x88e6df90fb2b941d:0xf0ffcc46960fcd62,FL
Oyster Creek Eatery,0x88e42794b458b71f:0xdbbd6bf778241bbe,FL
Nicky's Seafood,0x88f5036de0ecbfd3:0xfa8eb22fca982c72,GA
Cabana Beach Club,0x88d9b3154001fa7b:0x39f52b6f23c00389,FL
Cut Right Seafood Inc,0x88c4a991d14c3709:0xfecb7097aca07d6,FL
Southern Comfort Restaurant and Lounge,0x89ba8369dd51b461:0x8dac3970e65e0086,VA
Juicy King Crab House (Belair),0x89c80903a32ae5d1:0x6b4d3908fdb47f18,MD
Value Mart,0x88f6e0dfcc8cd961:0xbf2c63a988a529c5,GA
Naija Fish Place,0x89b7c7732d808b37:0x4da879d6ed6ad37e,MD
Sa'Mo Foods,0x88c2c611ab130713:0x6ff48691ef62eec5,FL
501 at Néné's - Takeout,0x890069c0151ac739:0xb68cc6941d49037c,SC
Long John Silver's,0x88602146ee42a335:0xbb821f4ee6e28dda,GA
Ballroom/Restaurant,0x88dd7f40d0aaec9f:0x669abf817f447803,FL
Mighty's Kitchen,0x88d9c412a4e7bccd:0x28ec2d5c6e5489c4,FL
685 Seafood,0x88e4dc18a36aabc5:0x6a75ebce3c9734c2,GA
The Harbor Grill,0x89b7f648b15e30c5:0x269e82e07a51e4e1,MD
What the Fries,0x8856a17c99ae6839:0x881ed6910353d7ea,NC
Seafood Market,0x88db3f59991e7cb7:0x975538c6830b3340,FL
Pokeworks,0x88e77be71b02991d:0x250193aa4ba73f68,FL
Brasas Rotisserie & Grill,0x89b7a13c873a2fd9:0xe6b931a0058bac3c,MD
Outer Banks Boil Company,0x89a4e1169aa570c9:0x5ab5a3dc4c8bc500,NC
Pura Brasa,0x88d9a160fe1eb831:0x20c54cb27ec39be3,FL
Poke Bros.,0x88f8ab67e63cfa59:0x84095cb87f7723b7,SC
Boil Bay Cajun Seafood and Bar,0x89b117de17d67783:0xdc70b2011b07850d,VA
Fisherman's Grille,0x89b99bf111ef56cd:0xd2f6e295da098d8,MD
Graffiti & The Funky Blues Shack,0x88915eb22fe0868b:0x48ccf534fdb199bd,FL
Pier 122 Seafood,0x884d41bbb2222347:0xaf9ec6d46e1c37ec,VA
Hooked,0x88f51d90e587f005:0x2aca8f6baf73699f,GA
Long John Silver's,0x89b6c1ce8a1af6f1:0x15dce8d3c48abe61,VA
Loft Restaurant and Tiki bar,0x88dedc2e55cf7289:0x5d9e5af49b9b5a46,FL
T-Ray's Fire Grill,0x88f5bf9d9e1dff89:0x79a065ba042634a5,GA
Outback Steakhouse,0x88e5b4f404cd7bc3:0xe20f89d3a1032a0c,FL
Sweet Tuna,0x88f5a1d1a2358b2b:0x3b971aa38d15c7a2,GA
Outback Steakhouse,0x88e729583a65478f:0x64df65575a90d7bd,FL
Poppa's Crab Shack,0x88e5b0a6dbadf0a1:0x7c5ff538c5c73ae4,FL
Bailey's Restaurant & Lounge,0x88f5b345cbd2dbd3:0xf90e301ff3857a47,GA
Coral Seafood of Florida,0x88dedd953dd83d13:0xc219350bca0b9aa7,FL
eat here Siesta Key,0x88c36a0a3bf1353d:0x2ac7bb945516c790,FL
Kajun Seafood,0x88f5a3b6f65a1e69:0x224decdea976a243,GA
Jamie's Seafood Shack,0x88ffd1fbde715555:0xc00d6cad4ebfd403,SC
Suzie cuisine,0x88d90727f3a79357:0xe56c041e7517c25c,FL
Dapur Asian Tapas Restaurant and Lounge,0x88d901c03dbf67f7:0xd20d4a844f0839fa,FL
Star Taco,0x88fe6d058b69b675:0x29bed5fd604f53eb,SC
The Juicy Seafood,0x88f50ba728d7cb5d:0x62fd47c3110a0091,GA
The Black Pearl Surf & Turf Grill,0x89c7ba89040da2af:0x1323795889bf8d9e,MD
Urban Crab Shack,0x89b7a3a76b420b6d:0x66fa5e94412edcf2,MD
Sixty-One Prime,0x88d0d1e65541ac41:0xe021e769b4dadfe9,FL
Estación Central - Central Station,0x88d9b7e8a33af5a7:0xbdeb5c3f893af29c,FL
Bashu Hot Pot,0x88e77931d2de0625:0x7d1746f914641c19,FL
Wood label bistro,0x88d9c75397011ebf:0xeff251c9c6e38872,FL
Coaxum's Seafood Spot,0x88f509ee31a6e8b3:0x6896841238daaf21,GA
Outback Steakhouse,0x89a89372c63c3c53:0x41bf4a86da8748e7,NC
JavaTropico Seafood & Grill,0x88f4ea091bfd0b0b:0x1627648f80163521,GA
